Gouketuji Ichizoku 2: Chottodake Saikyou Densetsu,PS,1995,Fighting,0,0,0.1,0.01,0.1,N/A
Guardian Heroes,SAT,1995,Role-Playing,0,0,0.29,0,0.29,N/A
Gunbird,SAT,1995,Shooter,0,0,0.06,0,0.06,N/A
GunGriffon,SAT,1995,Simulation,0,0,0.19,0,0.19,N/A
Hang On GP,SAT,1995,Racing,0,0,0.07,0,0.07,N/A
Hermie Hopperhead: Scrap Panic,PS,1995,Platform,0,0,0.02,0,0.03,N/A
High Velocity: Mountain Racing Challenge,SAT,1995,Racing,0,0,0.12,0,0.12,N/A
Hissatsu Pachinko Collection 3,SNES,1995,Misc,0,0,0.03,0,0.03,N/A
Hyper Formation Soccer,PS,1995,Sports,0,0,0.1,0.01,0.11,N/A
Ide Yosuke no Mahjong Kazoku,PS,1995,Misc,0,0,0.04,0,0.04,N/A
Idol Janshi Suchie-Pai Remix,SAT,1995,Misc,0,0,0.1,0,0.1,N/A
International Superstar Soccer Deluxe,SNES,1995,Sports,0,0,0.16,0,0.16,N/A
Iron Storm,SAT,1995,Shooter,0,0,0.34,0,0.34,N/A
J-League Excite Stage '95,SNES,1995,Sports,0,0,0.45,0,0.45,N/A
J-League Victory Goal,SAT,1995,Sports,0,0,0.15,0,0.15,N/A
Jikkyou Oshaberi Parodius,SNES,1995,Shooter,0,0,0.05,0,0.05,N/A
Jikkyou Powerful Pro Yakyuu 2,SNES,1995,Sports,0,0,0.27,0,0.27,N/A
Jirou Akagawa: Majotachi no Nemuri,SNES,1995,Adventure,0,0,0.05,0,0.05,N/A
Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,1995,Sports,0,0,0.22,0,0.22,N/A
Kekkon Zenya,SAT,1995,Adventure,0,0,0.05,0,0.05,N/A
Kekkon: Marriage,SAT,1995,Adventure,0,0,0.06,0,0.06,N/A
Kirby's Block Ball,GB,1995,Puzzle,0,0,0.32,0,0.32,N/A
Konpeki no Kantai,SNES,1995,Strategy,0,0,0.03,0,0.03,N/A
Mario no Super Picross,SNES,1995,Puzzle,0,0,0.41,0,0.41,N/A
Mario's Picross,GB,1995,Puzzle,0,0,0.62,0,0.62,N/A
